DONG,HOUR,DAY,AMT,CNT
고등동,9,5,186509.91216216216,17.594594594594593
고등동,9,6,263657.32653061225,21.231292517006803
고등동,9,7,137250.3537414966,15.183673469387756
고등동,10,1,24286.576923076922,3.855769230769231
고등동,10,2,19796.138613861385,3.772277227722772
고등동,10,3,19485.064814814814,3.8703703703703702
고등동,10,4,23043.877551020407,4.142857142857143
고등동,10,5,36266.81034482759,4.689655172413793
고등동,10,6,40531.808,4.984
고등동,10,7,20189.429824561405,3.912280701754386
매교동,1,1,33184.70921985816,6.950354609929078
매교동,1,2,39654.51748251748,8.41958041958042
매교동,1,3,37118.3698630137,8.363013698630137
매교동,1,4,32449.405405405407,7.871621621621622
매교동,1,5,43007.304964539006,9.02127659574468
매교동,1,6,53283.80952380953,10.965986394557824
매교동,1,7,55692.2027027027,11.39864864864865
매교동,2,1,102924.31756756757,26.655405405405407
매교동,2,2,112343.74324324324,27.7972972972973
매교동,2,3,135538.80405405405,29.513513513513512
매교동,2,4,125490.43243243243,29.7027027027027
매교동,2,5,129064.31756756757,31.114864864864863
매교동,2,6,85846.44897959183,18.35374149659864
매교동,2,7,53248.93793103448,12.413793103448276
매교동,3,1,284535.0472972973,55.486486486486484
매교동,3,2,296745.8445945946,54.979729729729726
매교동,3,3,320419.29054054053,57.99324324324324
매교동,3,4,346339.5878378378,58.351351351351354
매교동,3,5,376455.4391891892,60.45945945945946
매교동,3,6,493341.7210884354,82.81632653061224
매교동,3,7,427210.1081081081,62.95945945945946
매교동,4,1,651172.75,89.3108108108108
매교동,4,2,713019.6081081082,93.25
매교동,4,3,702863.4932432432,93.78378378378379
매교동,4,4,658404.0810810811,91.9054054054054
매교동,4,5,724851.5743243244,95.3445945945946
매교동,4,6,844782.3129251701,114.85714285714286
매교동,4,7,918866.7972972973,105.91216216216216
매교동,5,1,666603.2432432432,97.31756756756756
매교동,5,2,675752.3040540541,98.46621621621621
매교동,5,3,773108.2364864865,104.16891891891892
매교동,5,4,678734.8175675676,101.89189189189189
매교동,5,5,724912.7162162162,103.06756756756756
매교동,5,6,1149896.931972789,145.48299319727892
매교동,5,7,1299532.6013513512,144.44594594594594
매교동,6,1,629599.7972972973,83.43243243243244
매교동,6,2,593866.5945945946,83.30405405405405
매교동,6,3,675248.7162162162,86.5
매교동,6,4,552712.5608108108,81.91216216216216
매교동,6,5,610249.6351351351,90.4054054054054
매교동,6,6,978232.081632653,120.70068027210884
매교동,6,7,1027105.6756756756,119.77702702702703
매교동,7,1,472125.6418918919,66.66216216216216
매교동,7,2,477461.0743243243,70.13513513513513
매교동,7,3,443864.00675675675,68.68243243243244
매교동,7,4,446593.5675675676,70.18243243243244
매교동,7,5,518560.83108108107,75.25
매교동,7,6,553743.612244898,77.25170068027211
매교동,7,7,567854.777027027,71.00675675675676
매교동,8,1,352597.7297297297,58.96621621621622
매교동,8,2,386342.9391891892,58.91891891891892
매교동,8,3,364604.0337837838,60.695945945945944
매교동,8,4,390673.8716216216,60.03378378378378
매교동,8,5,407752.5472972973,66.56756756756756
매교동,8,6,464843.6258503401,69.05442176870748
매교동,8,7,373379.7972972973,58.21621621621622
매교동,9,1,170525.12162162163,29.804054054054053
매교동,9,2,270640.8783783784,29.972972972972972
매교동,9,3,177621.92567567568,32.013513513513516
매교동,9,4,208036.98648648648,32.222972972972975
매교동,9,5,245735.5,39.66216216216216
매교동,9,6,264734.0680272109,41.435374149659864
매교동,9,7,173086.95945945947,30.87837837837838
